Feature,Importance
RSI,0.06035890523344278
Return_5d,0.05913728382438421
Close_to_MA_50,0.05648019630461931
Close_to_MA_20,0.05451560020446777
MACD,0.05416433606296778
Return_20d,0.05376994609832764
ROC_20,0.05376636981964111
ATR_Pct,0.053014970384538174
Close_to_MA_10,0.052992806769907475
Volume_Ratio,0.052035264670848846
MACD_Histogram,0.051255229860544205
MACD_Signal,0.05121121555566788
Return_1d,0.05109001323580742
Close_to_MA_5,0.050114032812416553
ROC_10,0.0501094963401556
Return_3d,0.05004878342151642
BB_Position,0.04938869923353195
Return_10d,0.04874882847070694
ROC_5,0.04779800120741129
